大类,项目,项目ID,关联,类型,,
1,发动机机油,100,101,1,,"大类中 1为保养项目,2为清洗项目,3为维修项目,项目类别中1为配件,2为服务"
1,机油滤清器,101,100,1,,"关联中,如果有关联,请在关联列中添加需要关联的项目ID"
1,变速箱油,102,,1,,使用时请删除以上两句话
1,火花塞 ,103,,1,,
1,空调滤清器,104,,1,,
1,空气滤清器,105,,1,,
1,燃油滤清器,106,,1,,
1,制动液 ,107,,1,,
1,防冻液,108,,1,,
2,发动机润滑系统养护,200,,2,,
2,节气门清洗,201,,2,,
2,进气系统清洗,202,,2,,
2,喷油嘴清洗,203,,2,,
2,燃油系统养护,204,,2,,
2,空调系统清洗,205,,2,,
2,刹车系统养护,206,,2,,
2,缸内积碳清洗,207,,2,,
2,三元催化清洗,208,,2,,
2,变速箱清洗养护,209,,2,,
2,转向助力系统清洗养护,210,,2,,
2,发动机舱清洗,211,,2,,
2,发动机舱线束养护,212,,2,,
3,蓄电池,300,,1,,
3,前雨刮片,301,,1,,
3,后雨刮片,302,,1,,
3,前刹车片,303,,1,,
3,后刹车片,304,,1,,
3,前刹车盘,305,,1,,
3,后刹车盘/鼓,306,,1,,
3,轮胎动平衡/两轮,307,,2,,
3,轮胎动平衡/两轮,308,,2,,
3,四轮定位,309,,2,,
